Simulation Time,Sender,Packet Type,Number of Vehicles
10.8332562892,node[5],bsm,11
10.840425794269,node[3],bsm,11
10.843884148146,node[2],bsm,11
10.852683912776,node[0],bsm,11
10.858241117792,node[10],bsm,11
10.863327301783,node[4],bsm,11
10.875352104963,node[6],bsm,11
10.901898016571,node[1],bsm,11
10.91057190788,node[9],bsm,11
10.922355413251,node[7],bsm,11
10.927656027861,node[8],bsm,11
10.9332562892,node[5],bsm,11
10.940425794269,node[3],bsm,11
10.943884148146,node[2],bsm,11
10.952683912776,node[0],bsm,11
10.958241117792,node[10],bsm,11
10.963327301783,node[4],bsm,11
10.975352104963,node[6],bsm,11
11.001898016571,node[1],bsm,11
11.01057190788,node[9],bsm,11
11.022355413251,node[7],bsm,11
11.027656027861,node[8],bsm,11
11.0332562892,node[5],bsm,11
11.040425794269,node[3],bsm,11
11.043884148146,node[2],bsm,11
11.052683912776,node[0],bsm,11
11.058241117792,node[10],bsm,11
11.063327301783,node[4],bsm,11
11.075352104963,node[6],bsm,11
11.101898016571,node[1],bsm,11
11.11057190788,node[9],bsm,11
11.122355413251,node[7],bsm,11
11.127656027861,node[8],bsm,11
11.1332562892,node[5],bsm,11
11.140425794269,node[3],bsm,11
11.143884148146,node[2],bsm,11
11.152683912776,node[0],bsm,11
11.158241117792,node[10],bsm,11
11.163327301783,node[4],bsm,11
11.175352104963,node[6],bsm,11
11.201898016571,node[1],bsm,11
11.21057190788,node[9],bsm,11
11.222355413251,node[7],bsm,11
11.227656027861,node[8],bsm,11
11.2332562892,node[5],bsm,11
11.240425794269,node[3],bsm,11
11.243884148146,node[2],bsm,11
11.252683912776,node[0],bsm,11
11.258241117792,node[10],bsm,11
11.263327301783,node[4],bsm,11
11.275352104963,node[6],bsm,11
11.301898016571,node[1],bsm,11
11.31057190788,node[9],bsm,11
11.322355413251,node[7],bsm,11
11.327656027861,node[8],bsm,11
11.3332562892,node[5],bsm,11
11.340425794269,node[3],bsm,11
11.343884148146,node[2],bsm,11
11.352683912776,node[0],bsm,11
11.358241117792,node[10],bsm,11
11.363327301783,node[4],bsm,11
11.375352104963,node[6],bsm,11
11.401898016571,node[1],bsm,11
11.41057190788,node[9],bsm,11
11.422355413251,node[7],bsm,11
11.427656027861,node[8],bsm,11
11.4332562892,node[5],bsm,11
11.440425794269,node[3],bsm,11
11.443884148146,node[2],bsm,11
11.452683912776,node[0],bsm,11
11.458241117792,node[10],bsm,11
11.463327301783,node[4],bsm,11
11.475352104963,node[6],bsm,11
11.501898016571,node[1],bsm,11
11.51057190788,node[9],bsm,11
11.522355413251,node[7],bsm,11
11.527656027861,node[8],bsm,11
11.5332562892,node[5],bsm,11
11.540425794269,node[3],bsm,11
11.543884148146,node[2],bsm,11
11.552683912776,node[0],bsm,11
11.558241117792,node[10],bsm,11
11.563327301783,node[4],bsm,11
11.575352104963,node[6],bsm,11
11.601898016571,node[1],bsm,11
11.61057190788,node[9],bsm,11
11.622355413251,node[7],bsm,11
11.627656027861,node[8],bsm,11
11.6332562892,node[5],bsm,11
11.640425794269,node[3],bsm,11
11.643884148146,node[2],bsm,11
11.652683912776,node[0],bsm,11
11.658241117792,node[10],bsm,11
11.663327301783,node[4],bsm,11
11.675352104963,node[6],bsm,11
11.701898016571,node[1],bsm,11
11.71057190788,node[9],bsm,11
11.722355413251,node[7],bsm,11
11.727656027861,node[8],bsm,11
11.7332562892,node[5],bsm,11
11.740425794269,node[3],bsm,11
11.743884148146,node[2],bsm,11
11.752683912776,node[0],bsm,11
11.758241117792,node[10],bsm,11
11.763327301783,node[4],bsm,11
11.775352104963,node[6],bsm,11
11.801898016571,node[1],bsm,11
11.81057190788,node[9],bsm,11
11.822355413251,node[7],bsm,11
11.827656027861,node[8],bsm,11
11.8332562892,node[5],bsm,11
11.840425794269,node[3],bsm,11
11.843884148146,node[2],bsm,11
11.852683912776,node[0],bsm,11
11.858241117792,node[10],bsm,11
11.863327301783,node[4],bsm,11
11.875352104963,node[6],bsm,11
11.901898016571,node[1],bsm,11
11.91057190788,node[9],bsm,11
11.922355413251,node[7],bsm,11
11.927656027861,node[8],bsm,11
11.9332562892,node[5],bsm,11
11.940425794269,node[3],bsm,11
11.943884148146,node[2],bsm,11
11.952683912776,node[0],bsm,11
11.958241117792,node[10],bsm,11
11.963327301783,node[4],bsm,11
11.975352104963,node[6],bsm,11
12.001898016571,node[1],bsm,11
12.01057190788,node[9],bsm,11
12.022355413251,node[7],bsm,11
12.027656027861,node[8],bsm,11
12.0332562892,node[5],bsm,11
12.040425794269,node[3],bsm,11
12.043884148146,node[2],bsm,11
12.052683912776,node[0],bsm,11
12.058241117792,node[10],bsm,11
12.063327301783,node[4],bsm,11
12.075352104963,node[6],bsm,11
12.101898016571,node[1],bsm,11
12.11057190788,node[9],bsm,11
12.122355413251,node[7],bsm,11
12.127656027861,node[8],bsm,11
12.1332562892,node[5],bsm,11
12.140425794269,node[3],bsm,11
12.143884148146,node[2],bsm,11
